"English sentence","Swahili Translation"
"MERCUTlO Come between us, good Benvolio; my wits faint.","MERCUTIO Njoo kati yetu, nzuri Benvolio; akili yangu kificho."
"Gets visible as it coagulates, I see.","Anapata inayoonekana kama ni coagulates, naona."
"BENVOLlO I pray thee, good Mercutio, let's retire: The day is hot, the Capulets abroad,","BENVOLIO nakusihi, Mercutio nzuri, hebu kustaafu: siku ni moto, Capulets nje ya nchi,"
"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life.","Nikikumbuka karibu nitakuwa nimeshakufa, ni kifaa muhimu kuliko vifaa vyote vingine nimekuwa navyo katika kunisaidia kufanya uchaguzi mkubwa katika maisha."
"Then, as the first labourer struggled to his feet, he was kicked sideways by a blow that might have felled an ox.","Basi, kama mfanyakazi wa kwanza Jihadi kwa miguu yake, alikuwa mateke sideways na pigo ambayo inaweza kuwa na iliyokatwa ng'ombe."
"[Narrator] A lot of us are wondering what is all this technology doing to our brains?","Wengi wetu tunawaza, teknologia yafanyia nini bongo zetu"
"Did they arrive safely?","Je, wao kufika salama?"
"She carried the pepper-box in her hand, and","Yeye kufanyika pilipili-sanduku katika mkono wake, na"
"Alice was soon left alone.","Alice hivi karibuni kushoto peke yake."
"I am really so indebted to Mr. Chief--you know that perfectly well.","Mimi ni kweli hivyo mzigo mkubwa wa madeni kwa Mheshimiwa Mkuu - unajua kwamba kikamilifu vizuri."
"Hey, I'm busy myself.","Hey, mimi niko busy mwenyewe."
"I love you too.","Nakupenda pia."
"'There is such a nice little dog near our house I should like to show you! A little bright-eyed terrier, you know, with oh, such long curly brown hair!","Hakuna nzuri vile mbwa kidogo karibu na nyumba yetu napenda kuonyesha! kidogo mkali-eyed terrier, unajua, na oh, vile kwa muda mrefu kahawia curly nywele!"
"NURSE May not one speak?","Muuguzi Mei si moja kuzungumza?"
"You know what man?","Unajua nini mtu?"
"And I failed miserably.","Na nikashindwa vibaya sana"
"So he put the four shoes in a graceful group on the turf and looked at them.","Hivyo kuweka viatu nne katika kundi graceful juu ya Turf na akawatazama."
"""Precisely.""","""Just."""
"Then there was ring at the door. The servant girl was naturally shut up in her kitchen, and therefore Grete had to go to open the door. The father had arrived.","Kisha kulikuwa na pete ya mlango. msichana mtumishi alikuwa kawaida amefungwa katika jikoni yake, na hivyo Grete alikuwa na kwenda kufungua mlango. baba alifika."
"And he's sensing the texture by receiving an electrical message directly in the brain.","Na anahisi vile ilivyo kwa kupokea ujumbe umeme moja kwa moja kwenye ubongo."
"Thou art thyself, though not a Montague.","Wewe mwenyewe, ingawa si Montague."
"Regent Street is not unknown to Lascars and Malays; and at Bombay, in the Apollo Green,","Regent Street si haijulikani kwa Lascars na Malays, na katika Bombay, katika Green Apollo,"
"Why didn't you answer your phone?","Nini wewe kujibu simu yako?"
"Mister, what do you think you're doing!","Mister, unafikiri nini Wewe ni kufanya!"
"It was a delicate point, and it widened the field of my inquiry.","Ilikuwa ni hatua maridadi, na hivyo iliongezeka na uwanja wa uchunguzi wangu."
"PARlS This is that banish'd haughty Montague","PARIS Hii ni kwamba banish'd kiburi Montague"
"This field-bed is too cold for me to sleep:","Hii shamba-kitanda ni baridi mno kwa mimi usingizi:"
"With this once long lance, now wildly elbowed, fifty years ago did Nathan Swain kill fifteen whales between a sunrise and a sunset.","Na Lance hii mara moja kwa muda mrefu, sasa wildly elbowed, hamsini iliyopita alifanya Nathan Swain kuua nyangumi kumi na tano kati ya jua na machweo."
"""Odd!"" said Mr. Hall.","""Odd!"" Alisema Bw Hall."
"- I'll turn around.","- Nami kugeuka."
"Tom, how are you?","Tom, gani? Kusikiliza."
"PAGE [Aside.]","[. Mbali]"
"2 MUSlCIAN Pray you put up your dagger, and put out your wit.","2 Ombeni wewe mwanamuziki kuweka kisu yako, na kuweka nje yaani yako."
"CHAPTER IX THE STRANGEST HOUSE ANY ONE EVER LlVED IN","Sura ya IX HOUSE STRANGEST mtu aliyewahi kuishi katika"
"Queen said--'","Malkia alisema - '"
"Did you miss me so much that you had to skip school?","Je wewe miss yangu sana kwamba alikuwa utoroke shule?"
"Room in Capulet's House.","Chumba katika nyumba ya Capulet."
"I'm sure I don't want to stay in here any longer!'","Mimi nina uhakika sitaki kukaa hapa tena! '"
"And these projects came from questions I had, like:","Mipango hii ilitokana na maswali niliyokuwa nayo kama"
"""Tha' can buy anything in th' world tha' wants.","""Tha 'inaweza kununua kitu chochote katika th' dunia tha 'anataka."
"- Thank you.","- Asante."
"Said the mouse to the cur, ""Such a trial, dear Sir,","Said panya kwa cur, ""kama kesi, dear Mheshimiwa,"
"Very well thank you.","Mzuri sana, asante."
"Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?","Niambieni, haina nguvu magnetic wa sindano ya compasses ya wale meli zote kuvutia yao huko?"
"That's the only way that when you multiply two numbers you're going to have a negative number.","Hiyo ndiyo njia pekee ya kwamba ukizidisha namba mbili utapata namba iliyokuwa negative."
"All around was still.","Yote yalikuwa bado."
"'Did you say ""What a pity!"" ?' the Rabbit asked.","'Je, kusema ""Ni huruma!"" ? ""Rabbit aliuliza."
"It cost me something in foolscap, and I had pretty nearly filled a shelf with my writings.","Ni gharama mimi kitu katika foolscap, na mimi alikuwa na pretty karibu kujazwa rafu na yangu maandishi."
"(Stop acts of violence!)","(Komesha vitendo vya ukatili!)"
"""The matter was perfectly simple.","""Mambo ni rahisi kabisa."
"I am but thirty now."" ""It must be recovered.""","Mimi ni thelathini sasa. "" Ni lazima zinalipwa. """
"But passion lends them power, time means, to meet,","Lakini passion lends yao nguvu, maana wakati, kukutana,"
"Only when the cleaning woman was still unwilling to depart, did they look up angrily.","Kusafisha tu wakati mwanamke alikuwa bado nia ya kuondoka, wao kuangalia juu hasira."
"""I'll ask my mother about it,"" she said.","""Nitakuwa kuuliza mama yangu kuhusu hilo,"" alisema."
"When you raise your cry of fire, it will be taken up by quite a number of people.","Wakati kuongeza kilio yako ya moto, ni kuchukuliwa na idadi ya watu kabisa."
"We want to see the change.","Tunataka kuona mabadiliko."
"R is for the dog: no; I know it begins with some other letter:--and she hath the prettiest sententious of it, of you and Rosemary, that it would do you good to hear it.","R ni kwa ajili ya mbwa: hakuna; Najua itaanza na barua mengine: - na yeye ana prettiest sententious yake, ya wewe na Rosemary, kwamba ingekuwa kufanya vizuri kusikia."
"'UNimportant, of course, I meant,' the King hastily said, and went on to himself in an undertone,","'Dogo, kwa kweli, mimi maana ya, ""Mfalme hastily alisema, na aliendelea mwenyewe katika undertone,"
"All he passed stopped and began staring up the road and down, and interrogating one another with an inkling of discomfort for the reason of his haste.","Wote, alisimama na kuanza kupita staring up barabara na chini, na interrogating moja mwingine na inkling ya usumbufu kwa sababu ya haraka yake."
"CAPULET Welcome, gentlemen! ladies that have their toes","Karibu CAPULET, waungwana! wanawake kuwa na vidole vya miguu"
"I felt that I had let the previous generation of entrepreneurs down - that I had dropped the baton as it was being passed to me.","Niliona nimewasikitisha wale wajasiriamali wa kizazi kilichotangulia - nikashindwa kubeba amali ilyonipasa niibebe."
"But these are all landsmen; of week days pent up in lath and plaster--tied to counters, nailed to benches, clinched to desks.","Lakini haya yote ni landsmen; ya siku wiki Pent katika lath na plasta - amefungwa kwa counters, misumari na madawati, clinched kwa madawati."
"Doth hurry from the fatal cannon's womb.","Je, haraka kutoka tumboni mbaya wa kanuni."
"What am I going to do?","Nini, Mimi naenda kufanya nini?"
"It was dated at midnight of the preceding night and ran in this way:","Ilikuwa usiku wa manane wa tarehe ya kabla usiku na mbio kwa njia hii:"
"'IF I don't take this child away with me,' thought Alice, 'they're sure to kill it in a day or two: wouldn't it be murder to leave it behind?'","""Kama mimi si kuchukua mtoto mbali na mimi, 'walidhani Alice,' wao ni uhakika wa kumchinja siku moja au mbili: Je, si ni kuwa mauaji kuondoka nyuma?"
"He found it difficult to bear lying quietly during the night, and soon eating no longer gave him the slightest pleasure.","Yeye ni vigumu kwao kuvumilia uongo kimya kimya wakati wa usiku, na mara kula tena akampa radhi kidogo."
"Hence, you see, my double deduction that you had been out in vile weather, and that you had a particularly malignant boot- slitting specimen of the London slavey.","Kwa hiyo, unaweza kuona, punguzo yangu mara mbili kwamba alikuwa nje ya hali ya hewa mbaya, na kwamba alikuwa na hasa malignant Boot-slitting specimen ya slavey London."
"Alarmed, indeed!""","Wasiwasi kidogo! """
"""Then, good-night, your Majesty, and I trust that we shall soon have some good news for you.","""Basi, good-usiku, utukufu wako, na natumaini kwamba hivi karibuni tutakuwa na baadhi nzuri habari kwa ajili yenu."
"She had had servants, and food and clothes, but no one had taken any notice of her.","Alikuwa na watumishi, na chakula na nguo, lakini hakuna mtu alikuwa na kuchukuliwa yoyote ya taarifa ya yake."
"PRlNCE What misadventure is so early up, That calls our person from our morning's rest?","PRINCE misadventure nini ni hivyo mapema juu, kwamba mtu wito wetu na wengine asubuhi wetu?"
"And most important, have the courage to follow your heart and intuition.","Na iliyo muhimu zaidi, uwe na ujasiri kufuatilia moyo wako welekevu wako."
"And perhaps he is, after all).","Na labda yeye ni, baada ya yote)."
"""Just as you please; I'm sorry I cant spare ye a tablecloth for a mattress, and it's a plaguy rough board here""--feeling of the knots and notches.","""Kama wewe tafadhali; sorry I cant vipuri ninyi Tablecloth kwa godoro, na it'sa plaguy mbaya bodi hapa ""- hisia ya mafundo na notches."
"He was, I take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position.","Alikuwa, mimi kuchukua hiyo, kamilifu zaidi hoja na mashine ya kuchunguza kwamba dunia ina kuonekana, lakini kama lover angeweza tumeweka mwenyewe katika nafasi ya uongo."
"ROMEO Not I, believe me: you have dancing shoes, With nimble soles; I have a soul of lead","Romeo Si mimi, amini mimi: una kucheza viatu, Na nyayo mahiri, mimi na roho ya risasi"
"- Uh?","- Uh?"
"You know the song, perhaps?' 'I've heard something like it,' said Alice.","Unajua wimbo, labda '?' Nimesikia kitu kama hiyo, 'alisema Alice."
"This is the world distribution of income of people.","Hii ni mgao wa kipato cha watu."
"You can always see a face in the fire.","Unaweza kuona uso kwa moto."
"""I never knows when I shall see thee or which side tha'll come from.""","""Mimi kamwe anajua wakati mimi sikukuona wewe au ambayo upande tha'll kutoka."""
"Drop it, okay?","Tone yake, okay?"
"""I beg that you will not touch me with your filthy hands,"" remarked our prisoner as the handcuffs clattered upon his wrists.","""Naomba kwamba huwezi kuwasiliana na mimi kwa mikono yako machafu,"" alisema mfungwa yetu kama pingu clattered juu ya mikono yake."
"I visualize four times three.","Mimi naona nne mara tatu"
"'When griping grief the heart doth wound, And doleful dumps the mind oppress,","'Wakati griping huzuni moyo mwenye jeraha, Na doleful madampo kuonea akili,"
"'But, it goes on ""THEY ALL RETURNED FROM HlM TO YOU,""' said Alice.","'Lakini, unaendelea ""Wote akarudi kutoka kwa huyu,""' alisema Alice."
"Or you could do this as three one time.","Vilevile ungeifasiri kuwa ni tatu mara moja."
"'What a number of cucumber-frames there must be!' thought Alice.","Nini idadi ya tango muafaka-lazima kuna! 'Walidhani Alice."
"As I remember, this should be the house:","Kama mimi kumbuka, hii lazima nyumba:"
"I withdrew yet farther into my shell, and endeavored to keep a bright fire both within my house and within my breast.","Mimi alikwenda mbali zaidi bado katika ganda yangu, na alijaribu kuweka moto mkali wote ndani ya nyumba yangu na katika kifua changu."
"I think is great.","Nadhani ni kubwa."
"""Since when did you learn to pry into an investigator's private memoranda,"" said the","""Tangu lini kujifunza tafiti memoranda mchunguzi binafsi,"" alisema"
"I chose this.","Nilichagua hii."
"She said that very often--""It was the custom."" The native servants were always saying it.","Alisema kuwa mara nyingi sana - ""Ilikuwa ni desturi."" watumishi uliotokea walikuwa daima kusema."
"By the man pounded, and as he ran he chinked like a well-filled purse that is tossed to and fro.","Na mtu kusaga, na kama yeye mbio yeye chinked kama mfuko wa fedha ya kujazwa vizuri kwamba ni kuchafuka huko na huko."
"Chapter IV.","Sura ya IV."
"Then love-devouring death do what he dare,-- It is enough I may but call her mine.","Kisha upendo-ulaji kifo kufanya kile kuthubutu, - Ni kutosha nipate lakini wito wangu wake."
"Alice asked in a tone of great curiosity.","Alice aliuliza kwa sauti ya ya udadisi mkubwa."
"Mary saw that it was a smart carriage and that it was a smart footman who helped her in.","Mary akaona ya kuwa ni gari smart na kuwa ilikuwa ni footman smart ambao ulisaidia yake in"
"""But he'll be gone before you can get him to hospital.""","""Lakini utakuwa gone kabla ya kupata naye hospitalini. """
"So, the Big Bang theory, I asked him","Hivyo basi, hii dhana ya Big Bang, nilimuuliza"
"This comes at a high cost to taxpayers and produces no proportional benefits.","Hii inawaumiza walipa kodi na haitoi faida zilizosawa."
"Leviathan the piercing serpent, even Leviathan that crooked serpent; and he shall slay the dragon that is in the sea.""","Leviathan kutoboa nyoka, hata Leviathan kwamba nyoka aendaye mbio, naye atamwua yule joka ni katika bahari. """
"He came down stiffly and slowly, staring all the time; he walked across the passage staring, then stopped.","Alifika stiffly na polepole, staring wakati wote, akatembea katika kifungu staring, kisha kusimamishwa."
"NURSE Ah, well-a-day! he's dead, he's dead, he's dead!","Muuguzi Ah, vizuri siku! yeye ni wafu, yeye ni wafu, yeye wafu!"
"And she took her by the arm and half pushed, half pulled her up one passage and down another until she pushed her in at the door of her own room.","Na yeye huyo mama, akamshika mkono na kusukuma nusu, nusu ya vunjwa yake juu na kifungu kimoja chini ya mwingine mpaka yeye kusukuma yake katika mlango wa chumba chake mwenyewe."
"So you got this scholarship. Richard Turere: Yep.","Kwa hiyo umepata ufadhili wa masomo.Richard Turere:ndiyo"
"This is my room.","Hii ni chumba changu."
"""Stolen, then.""","""Stolen, basi."""
"Can you keep a secret?","Je, unaweza kuweka siri?"
"We see a pattern of resistance, through petitions, meetings, negotiations with the government, protests, public demonstrations.","Tunaona jambo linalofanana katika kupinga, kupitia kuhamasishana, mikutano, majadiliano na serikali, migomo, maandamano ya halaiki."
"But he felt as if he was nailed in place and lay stretched out completely confused in all his senses.","Lakini alijisikia kama kama alikuwa katika nafasi ya misumari na kuweka akanyosha kuchanganyikiwa kabisa katika akili yake yote."
"And we had a robotic device, a humanoid robot, in Kyoto, Japan at ATR Laboratories that was dreaming its entire life to be controlled by a brain, a human brain, or a primate brain.","Na tukawa na chombo cha roboti, roboti ya kibinadamu, huko Kyoto, Ujapani katika maabara ya ATR iliyopanga maisha yake yote kuthibitiwa na ubongo, akili ya binadamu, ama ya mnyama."
"You are not going to your grandmama.","Wewe si kwenda grandmama yako."
"'That would be grand, certainly,' said Alice thoughtfully: 'but then--I shouldn't be hungry for it, you know.'","'Hiyo itakuwa grand, hakika,' alisema Alice kuyatafakari: 'lakini basi - sitakuwa kuwa na njaa kwa ajili yake, mnajua. '"
"She did not say any more for a few moments and then she began again.","Yeye hakuwa na kusema lolote zaidi kwa muda mfupi na kisha yeye akaanza tena."
"But now, my lord, what say you to my suit?","Lakini sasa, bwana wangu, kusema na suti yangu?"
"Better sleep with a sober cannibal than a drunken Christian.","Bora kulala na cannibal amelewa kiasi ya Kikristo."
"She was not troubled about Mrs. Medlock.","Yeye hakuwa na wasiwasi juu ya Bi Medlock."
"'All right, so far,' said the King, and he went on muttering over the verses to himself: '""WE KNOW IT TO BE TRUE--"" that's the jury, of course--""I GAVE HER ONE, THEY","'Sawa, hadi sasa, ""alisema Mfalme, na aliendelea muttering juu ya aya ya mwenyewe: ""sisi kujua kuwa ni kweli -"" kwamba jury, bila shaka - ""mimi akamtoa yake, THEY"
"And turn'd that black word death to banishment:","Na turn'd kuwa nyeusi neno kifo ni kuhamishwa:"
"""I'm going to let off at his legs.","""Mimi naenda basi mbali katika miguu yake."
"I miss when I look back upon Jim's success.","I miss wakati mimi kuangalia nyuma juu ya mafanikio ya Jim."
"BENVOLlO Why dost thou stay?","Unafanya nini BENVOLIO kukaa?"
"Mr. Bunting was standing in the window engaged in an attempt to clothe himself in the hearth-rug and a West Surrey Gazette.","Mheshimiwa Bunting alikuwa amesimama katika dirisha kushiriki katika jaribio la nguo mwenyewe katika hearth-rug na West Surrey Gazeti la Serikali."
"And when it burst, the size of its country bubble is the size of the population.","Na ikipasuka, ukubwa wa puto la nchi ni sawa na idadi ya watu."
"You could pretty plainly tell how long each one had been ashore.","Unaweza pretty wazi wazi kueleza jinsi muda mrefu kila mmoja alikuwa ashore."
"""You can really have no notion how delightful it will be When they take us up and throw us, with the lobsters, out to sea!""","""Unaweza kweli kuwa hakuna wazo jinsi ya kupendeza itakuwa Baada ya kuchukua sisi juu na kutupa sisi, na kamba, nje ya bahari! """
"The Queen's argument was, that if something wasn't done about it in less than no time she'd have everybody executed, all round.","Malkia wa hoja ilikuwa kwamba, kama kuna jambo si kufanyika kuhusu hilo katika chini ya wakati hakuna yeye Ningependa kuwa na kila mtu kunyongwa, pande zote."
"Mrs. Hall, standing open-mouthed and horror-struck, shrieked at what she saw, and made for the door of the house.","Bi Hall, wamesimama wazi-mouthed na horror-akampiga, shrieked katika kile yeye aliona, na kwa ajili ya mlango wa nyumba."
"Now I growl when I'm pleased, and wag my tail when I'm angry.","Sasa mimi growl wakati mimi nina radhi, na kutikisa mkia wangu wakati mimi nina hasira."
"Listen to me.","Nisikilizeni."
"""No door!"" cried Mary.","""Hakuna mlango!"" Kelele Maria."
"No matter which model, Tristan is pretty sure that the web app stores are here to stay ...","Hakuna jambo ambalo mfano, Tristan ni pretty kuhakikisha kwamba App mtandao maduka ni hapa kukaa ..."
"Ben Weatherstaff rooted up a weed and threw it aside before he answered.","Ben Weatherstaff olewa kupalilia na kurusha kando kabla ya yeye akajibu."
"Excuse me, but, aren't you going to Sunil Girls' Jr. High?","Excuse me, lakini, si wewe kwenda Sunil Girls 'High Jr?"
"He was protected by his isolation, alone of his own superior kind, in close touch with","Alikuwa ulinzi na upweke wake, peke ya aina yake mwenyewe mkuu, katika kuwasiliana kwa karibu na"
"For I am sure you have your hands full all In this so sudden business.","Kwa maana Mimi ni kuhakikisha kuwa mikono yako kamili wote Katika biashara hii ili ghafla."
"She saw another open green door, revealing bushes and pathways between beds containing winter vegetables.","Yeye aliona mwingine kijani mlango wazi, na kuonyesha misitu na njia kati ya vitanda containing baridi mboga."
"And, after a short while, he urged him on again in a deeper voice:","Na, baada ya muda mfupi, yeye aliwataka naye tena kwa sauti zaidi:"
"Friends forever.","Marafiki milele."
"CAPULET What should it be, that they so shriek abroad?","CAPULET Je ni kuwa, kwamba wao ili ukwenzi nje ya nchi?"
"They're no longer being taught to babies, which means, effectively, unless something changes, they're already dead.","Hazifundishwi kwa watoto wachanga tena, maana yake ni kwamba, kwa hakika, labda kama kuna mambo yatabadilika, zimeshakufa."
"We look upon it as a possibility of percentile increase.","Tunaiangalia kama ni uwezekano wa kuongezeka kwa asilimia."
"""Try the settee,"" said Holmes, relapsing into his armchair and putting his fingertips together, as was his custom when in judicial moods.","""Jaribu settee,"" alisema Holmes, relapsing katika armchair yake na kuweka wake fingertips pamoja, kama ilivyokuwa desturi yake wakati katika moods mahakama."
"Amara makes video globally accessible with captions and translations.","Amara inasaidia kusambaza video kote ulimwenguni kwa kutumia viejelezi"
"He, on his side, had that faculty of beholding at a hint the face of his desire and the shape of his dream, without which the earth would know no lover and no adventurer.","Yeye, kwa upande wake, alikuwa na kwamba kitivo cha kutazama katika ladha ya uso wa tamaa yake na sura ya ndoto yake, bila ambayo nchi kujua hakuna mpenzi na hakuna mzizimizi."
"""Since when did you learn to invade the private rooms of a man in misfortune?"" and the concussion was repeated.","""Tangu lini kujifunza kwa kuvamia vyumba vya binafsi wa mtu kwa bahati mbaya?"" Na concussion alikuwa mara kwa mara."
"Look at me.","Sijui. ngoja kuanzisha wewe kwa rafiki yangu, Demitry."
"And in practice again, I observe.","Na katika mazoezi tena, mimi kuyashika."
"For these here blind chaps hear uncommon sharp, I'm told.","Kwa maana hayo chaps hapa kipofu kusikia kawaida mkali, mimi nina habari."
"JULlET Yond light is not daylight, I know it, I:","Juliet Yond mwanga si mchana, najua, I:"
"""Kemp!"" cried the Voice.","""Kemp!"" Kelele sauti."
"Don't touch anything!","Usiguse kitu chochote!"
"I'm studying!","Mimi kusoma!"
"Prick'd from the lazy finger of a maid: Her chariot is an empty hazel-nut,","Prick'd kutoka kidole wavivu wa mjakazi: gari yake ni tupu hazel-nut,"
"Alice whispered to the Gryphon. 'They can't have anything to put down yet, before the trial's begun.'","'Wao hawezi kuwa na kitu chochote kuweka chini bado, kabla ya kesi imeanza. '"
"This gave her so much to think of that she began to be quite interested and feel that she was not sorry that she had come to Misselthwaite Manor.","Hii akampa mengi ya kufikiria kwamba yeye akaanza kuwa na nia kabisa na kuhisi kwamba yeye hakuwa sorry kwamba yeye alikuja Misselthwaite Manor."
"'You are old,' said the youth, 'and your jaws are too weak","'Wewe ni mzee,' alisema vijana, 'na taya yako ni dhaifu mno"
"Again?","Tena?"
"'I mean, what makes them so shiny?'","'I mean, nini inawafanya hivyo shiny?"
"I should not have thought there were so many in the whole country as were brought together by that single advertisement.","Ni lazima si kuwa na mawazo walikuwa wengi katika nchi nzima kama walikuwa kuletwa pamoja na kwamba tangazo moja."
"This way, please!""","Njia hii, tafadhali! """
"Good morning, Boeun.","Habari za asubuhi, Boeun."
"So shall no foot upon the churchyard tread,-- Being loose, unfirm, with digging up of graves,--","Hivyo na wala mguu juu ya kutembea churchyard, - Kuwa huru, unfirm, pamoja na kuchimba hadi makaburini, -"
"Okay!","Okay!"
"It is one of the most important tools in our everyday life.","Ni moja ya zana muhimu katika maisha yetu ya kila siku."
"So she set the little creature down, and felt quite relieved to see it trot away quietly into the wood.","Hivyo yeye kuweka kiumbe kidogo chini, na waliona kuondoka kabisa kuona matiti mbali kimya kimya ndani ya kuni."
"""I am about to be married.""","""Mimi ni kuhusu kuoana."""
"There's the robin, Ben Weatherstaff.""","Kuna robin, Ben Weatherstaff. """
"They'll be in scarlet straight at any news.","Wao utakuwa katika nyekundu moja kwa moja katika habari yoyote."
"He came round greatly concerned.","Alikuja sana pande zote husika."
"- Our room teacher.","- Chumba yetu mwalimu."
"But at Mozilla they have not been happy with the way Google has solved the problems.","Lakini katika Mozilla wao si furaha na njia Google kutatuliwa matatizo."
"At that sound Mr. Bunting was nerved to abrupt action.","Katika sauti kwamba Mheshimiwa Bunting alikuwa nerved kwa abrupt action."
"Then all alone At the prefixed hour of her waking","Kisha peke Katika saa prefixed ya uchao yake"
"Because my students, what they said when they looked upon the world, and I asked them,","Kwasababu wanafunzi wangu, walichosema wakati walipoangalia dunia, na nilipowauliza,"
"I have got just thirteen whole ones, beside several which are imperfect or undersized; but they will do for the smaller fry; they do not cover up the hook so much.","Nina kumi na tatu tu ndio nzima, badala ya kadhaa ambayo ni kasoro au undersized; lakini wao kufanya kwa kaanga kidogo, hawana cover up ndoano sana."
"His dress was rich with a richness which would, in England, be looked upon as akin to bad taste.","Mavazi yake alikuwa tajiri na utajiri ambayo, nchini Uingereza, inaonekana juu kama sawa kwa ladha mbaya."
"I'll have this knot knit up to-morrow morning.","Mimi itabidi hii fundo kuunganishwa hadi kesho asubuhi."
"And Aurora kept playing the game, kept finding the little target and getting the orange juice that she wanted to get, that she craved for.","Na Aurora aliendelea kucheza mchezo huo, aliendelea kufikia ile hatua na kupata juisi ya machungwa aliyotaka, aliyotamani."
"Stand not amaz'd. The prince will doom thee death If thou art taken.","Kusimama si amaz'd. mkuu itakuwa adhabu yako kifo Kama wewe ni kuchukuliwa."
"--FROM ""SOMETHlNG"" UNPUBLlSHED.","- KUTOKA ""kitu"" kuchapishwa."
"Therefore, one can expect Mozilla to try to solve that challenge in its own way - not necessarily in the first version of the Firefox 4, but soon, promises Tristan Nitot.","Kwa hiyo, mtu anaweza kutarajia Mozilla kujaribu kutatua changamoto kwa namna yake - si lazima katika toleo la kwanza la Firefox 4, lakini hivi karibuni, ahadi ya Tristan Nitot."
"And the predictions, as you've read, are serious.","Na tabiri, kama mlivyosoma, ni makini."
"ROMEO What lady is that, which doth enrich the hand Of yonder knight?","Romeo nini mwanamke ni kwamba, ambayo anajua ya kuimarisha mkono wa pale mbele knight?"
"What's interesting is the metaphor that defines the relationship between the individual and the natural world.","Kinachosisimua ni nadharia inayo ainisha uhusiano huo kati ya mtu na ulimwengu asilia"
"-Chapter 3.","-Sura ya 3."
"JULlET Madam, I am here.","Juliet Madam, Mimi ni hapa."
"She's had th' toothache all day.""","Yeye alikuwa toothache th 'siku zote."
"'Nothing whatever,' said Alice.","'Hakuna kitu chochote, ""alisema Alice."
"I had been warned against you months ago.","Mimi nilikuwa alionya dhidi yenu miezi iliyopita."
"Is that the same woman that I saw at our house last night?","Ni kwamba mwanamke huo huo nikaona katika nyumba yetu ya mwisho usiku?"
"But get this: A child's brain has a quadrillion connections-- 10 times the number of connections of the entire Internet.","Lakini fahamu hivi: ubongo wa mtoto uko na mahusiano quadrillioni mara kumi zaidi ya mahusiano yaliyo kwenye mtandao"
"I'm no sugar daddy.","Mimi hakuna daddy sukari."
"""No, no, there's life in him!"" shouted another.","""Hapana, hapana, kuna maisha ndani yake!"" Walipiga kelele mwingine."
"It was all left to him on his own.","Yote ilikuwa kushoto kwake peke yake."
"That'll be a comfort, one way--never to be an old woman--but then--always to have lessons to learn!","Kwamba utakuwa na faraja, kwa njia moja - kamwe kuwa mwanamke mkongwe - lakini basi - daima kuwa na masomo ya kujifunza!"
"Then we would not have a brother, but we could go on living and honour his memory.","Basi tusingekuwa na ndugu, lakini tunaweza kwenda kuishi na heshima kumbukumbu yake."
"- Shh!","- Shh!"
"'Call it what you like,' said the Cat.","'Call ni nini kama,' alisema Cat."
"Rather than I should marry another woman, there are no lengths to which she would not go--none.""","Kuliko mimi lazima kuoa mwanamke mwingine, hakuna urefu ambao yeye hakutaka go -. hakuna """
"Go before, nurse: commend me to thy lady; And bid her hasten all the house to bed,","Go kabla ya, nesi: Sifu mimi mwanamke wako, na jitihada yake kuharakisha nyumba yote ya kitanda,"
"""Are there rose-trees?""","""Je, rose-miti?"""
"I did it so I got the confidence interval, which is pretty narrow, and I got happy, of course: a 1.8 right answer out of five possible.","Nilifanya hivyo na nilipata kiwango cha imani, ambacho kilikuwa kidogo, na nilifurahi, kwa hakika: 1.8 ya jibu sahihi kati ya matano inawezekana."
"NURSE An honour!--were not I thine only nurse,","Muuguzi heshima - walikuwa si mimi muuguzi wako tu,"
"In India she had always been attended by her Ayah, who had followed her about and waited on her, hand and foot.","Katika India yeye amekuwa na kuhudhuriwa na Ayah wake, ambaye alikuwa na kufuatiwa yake juu na walisubiri kwa upande wake, na miguu."
"In the neighbouring room on the right the sister began to sob.","Katika chumba cha jirani juu ya haki ya dada akaanza sob."
"'Yes!' shouted Alice.","'Ndiyo!' Kelele Alice."
"He sat next to me on the New York City subway, and he started chatting me up.","Alikaa kando yangu kwenye treni katika mji wa New York, na alianza kuniongelesha."
"Even the most highly respected authorities can turn out to be wrong.","Hata mamlaka za juu zinazoheshimiwa zinaweza kutokuwa sahihi."
"The photograph is now as safe as if it were in the fire.""","Najua kwamba neno yake ni inviolate. sasa kama picha ni salama kama ni katika moto. "" Nafurahi kusikia utukufu wako umesema. """
"You add four to itself three times.","Unaongeze nne kwa yenyewe mara tatu"
"ROMEO And stay, good nurse, behind the abbey-wall:","Romeo na kukaa, nzuri muuguzi, nyuma ya Abbey-ukuta:"
"So my parents, who were on a waiting list, got a call in the middle of the night asking:","Kwa hivyo wazazi wangu walioandikwa katika orodha ya wanaosubiri kumwasili mtoto walipigiwa simu usiku wa manane na wakaulizwa:"
"SERVANT Ye say honestly: rest you merry!","Ninyi mnasema mtumishi kwa uaminifu: kupumzika wewe merry!"
"Really?","Kweli?"
"""I was sure that I might rely on you.""","""Nilikuwa na uhakika kwamba naweza kuwategemea ninyi."""
"What's Montague?","Montague nini?"
